IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.247.203,2053,2053,true,SIN,Asia Pacific,Singapore,100,10.10
8.222.224.17,2096,2096,true,SIN,Asia Pacific,Singapore,36,10.10
8.218.105.223,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,10.10
8.219.50.180,2087,2087,true,SIN,Asia Pacific,Singapore,123,10.10
8.219.248.47,2052,2052,false,SIN,Asia Pacific,Singapore,24,10.10
8.222.160.176,80,80,false,SIN,Asia Pacific,Singapore,6,10.09
47.236.169.164,2053,2053,true,SIN,Asia Pacific,Singapore,71,10.08
8.219.193.202,2086,2086,false,SIN,Asia Pacific,Singapore,26,10.08
8.219.201.245,2087,2087,true,SIN,Asia Pacific,Singapore,98,10.08
8.222.208.83,2095,2095,false,SIN,Asia Pacific,Singapore,6,10.07
8.219.222.8,8080,8080,false,SIN,Asia Pacific,Singapore,7,10.07
8.218.158.94,8443,8443,true,HKG,Asia Pacific,Hong Kong,129,10.07
8.219.87.34,443,443,true,SIN,Asia Pacific,Singapore,49,10.07
8.219.175.127,2083,2083,true,SIN,Asia Pacific,Singapore,90,10.06
8.219.241.189,80,80,false,SIN,Asia Pacific,Singapore,7,10.06
8.219.141.174,2095,2095,false,SIN,Asia Pacific,Singapore,62,10.06
8.219.178.101,8443,8443,true,SIN,Asia Pacific,Singapore,96,10.06
47.237.8.82,2087,2087,true,SIN,Asia Pacific,Singapore,39,10.05
8.222.210.182,2087,2087,true,SIN,Asia Pacific,Singapore,56,10.05
8.219.198.139,8080,8080,false,SIN,Asia Pacific,Singapore,10,10.05
47.243.173.187,80,80,false,HKG,Asia Pacific,Hong Kong,36,10.05
8.218.211.17,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,10.04
8.222.134.170,2096,2096,true,SIN,Asia Pacific,Singapore,18,10.04
8.218.119.115,2096,2096,true,HKG,Asia Pacific,Hong Kong,118,10.03
47.236.83.239,8080,8080,false,SIN,Asia Pacific,Singapore,20,10.03
8.219.142.229,2096,2096,true,SIN,Asia Pacific,Singapore,137,10.01
8.219.193.22,2082,2082,false,SIN,Asia Pacific,Singapore,24,10.01
8.222.223.34,2053,2053,true,SIN,Asia Pacific,Singapore,26,10.01
8.222.198.105,2083,2083,true,SIN,Asia Pacific,Singapore,87,10.01
8.222.193.208,2082,2082,false,SIN,Asia Pacific,Singapore,8,10.00
8.222.213.221,2096,2096,true,SIN,Asia Pacific,Singapore,45,10.00
47.236.158.158,8080,8080,false,SIN,Asia Pacific,Singapore,27,10.00
47.236.121.23,2053,2053,true,SIN,Asia Pacific,Singapore,81,10.00
47.236.146.249,2087,2087,true,SIN,Asia Pacific,Singapore,101,9.99
8.222.215.228,2087,2087,true,SIN,Asia Pacific,Singapore,30,9.99
8.219.159.232,2095,2095,false,SIN,Asia Pacific,Singapore,21,9.99
8.219.142.191,2096,2096,true,SIN,Asia Pacific,Singapore,82,9.99
8.222.221.86,2087,2087,true,SIN,Asia Pacific,Singapore,75,9.98
8.219.111.175,2082,2082,false,SIN,Asia Pacific,Singapore,15,9.97
8.222.208.83,2082,2082,false,SIN,Asia Pacific,Singapore,5,9.97
8.219.222.98,8443,8443,true,SIN,Asia Pacific,Singapore,98,9.97
8.219.0.162,2082,2082,false,SIN,Asia Pacific,Singapore,9,9.96
8.222.226.15,8080,8080,false,SIN,Asia Pacific,Singapore,28,9.95
8.219.61.52,2096,2096,true,SIN,Asia Pacific,Singapore,125,9.95
8.222.208.38,2083,2083,true,SIN,Asia Pacific,Singapore,50,9.95
8.210.174.156,8443,8443,true,HKG,Asia Pacific,Hong Kong,71,9.95
8.218.18.132,2082,2082,false,HKG,Asia Pacific,Hong Kong,52,9.95
8.219.251.81,8880,8880,false,SIN,Asia Pacific,Singapore,13,9.93
8.222.197.251,2086,2086,false,SIN,Asia Pacific,Singapore,7,9.93
8.219.122.96,2083,2083,true,SIN,Asia Pacific,Singapore,67,9.93
8.219.175.127,443,443,true,SIN,Asia Pacific,Singapore,98,9.93
8.219.1.92,2083,2083,true,SIN,Asia Pacific,Singapore,99,9.92
8.219.124.227,2053,2053,true,SIN,Asia Pacific,Singapore,126,9.92
8.222.162.45,8080,8080,false,SIN,Asia Pacific,Singapore,12,9.92
8.222.255.15,8443,8443,true,SIN,Asia Pacific,Singapore,40,9.91
8.219.247.203,2095,2095,false,SIN,Asia Pacific,Singapore,50,9.91
8.219.142.191,2083,2083,true,SIN,Asia Pacific,Singapore,127,9.91
47.236.87.206,80,80,false,SIN,Asia Pacific,Singapore,22,9.90
8.219.103.57,443,443,true,SIN,Asia Pacific,Singapore,112,9.90
8.222.254.91,2082,2082,false,SIN,Asia Pacific,Singapore,4,9.90
8.222.160.176,2086,2086,false,SIN,Asia Pacific,Singapore,25,9.89
47.236.170.54,2052,2052,false,SIN,Asia Pacific,Singapore,8,9.89
8.219.13.143,2087,2087,true,SIN,Asia Pacific,Singapore,101,9.89
8.222.221.86,2082,2082,false,SIN,Asia Pacific,Singapore,3,9.89
8.222.221.86,2083,2083,true,SIN,Asia Pacific,Singapore,107,9.88
8.219.251.81,8443,8443,true,SIN,Asia Pacific,Singapore,71,9.88
8.210.101.157,2083,2083,true,HKG,Asia Pacific,Hong Kong,63,9.88
8.219.248.47,443,443,true,SIN,Asia Pacific,Singapore,101,9.87
8.222.219.34,2053,2053,true,SIN,Asia Pacific,Singapore,35,9.87
8.219.83.201,8443,8443,true,SIN,Asia Pacific,Singapore,100,9.87
8.219.213.112,443,443,true,SIN,Asia Pacific,Singapore,115,9.87
8.222.221.86,2087,2087,true,SIN,Asia Pacific,Singapore,47,9.87
8.219.122.96,8443,8443,true,SIN,Asia Pacific,Singapore,140,9.86
8.222.249.190,80,80,false,SIN,Asia Pacific,Singapore,11,9.86
47.236.144.48,2086,2086,false,SIN,Asia Pacific,Singapore,62,9.86
8.222.237.131,8443,8443,true,SIN,Asia Pacific,Singapore,62,9.86
47.236.174.206,8443,8443,true,SIN,Asia Pacific,Singapore,72,9.85
8.210.156.6,2086,2086,false,HKG,Asia Pacific,Hong Kong,40,9.85
47.236.83.239,2087,2087,true,SIN,Asia Pacific,Singapore,100,9.85
8.219.228.193,2053,2053,true,SIN,Asia Pacific,Singapore,102,9.85
8.219.222.98,2087,2087,true,SIN,Asia Pacific,Singapore,96,9.85
8.222.252.150,8443,8443,true,SIN,Asia Pacific,Singapore,140,9.84
8.219.51.211,80,80,false,SIN,Asia Pacific,Singapore,8,9.84
8.219.196.117,2083,2083,true,SIN,Asia Pacific,Singapore,103,9.83
8.219.106.156,2083,2083,true,SIN,Asia Pacific,Singapore,91,9.83
8.222.212.172,2082,2082,false,SIN,Asia Pacific,Singapore,4,9.83
47.236.171.205,2086,2086,false,SIN,Asia Pacific,Singapore,40,9.83
8.219.241.189,8880,8880,false,SIN,Asia Pacific,Singapore,14,9.83
8.219.114.201,2053,2053,true,SIN,Asia Pacific,Singapore,144,9.82
8.222.152.165,80,80,false,SIN,Asia Pacific,Singapore,32,9.82
8.222.167.147,2087,2087,true,SIN,Asia Pacific,Singapore,101,9.82
8.219.175.127,80,80,false,SIN,Asia Pacific,Singapore,29,9.82
47.74.37.50,2087,2087,true,NRT,Asia Pacific,Tokyo,129,9.81
8.219.114.201,2082,2082,false,SIN,Asia Pacific,Singapore,83,9.81
47.236.169.164,2053,2053,true,SIN,Asia Pacific,Singapore,76,9.81
8.219.241.189,2087,2087,true,SIN,Asia Pacific,Singapore,78,9.81
47.76.37.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,65,9.80
8.219.98.13,8880,8880,false,SIN,Asia Pacific,Singapore,7,9.80
8.219.235.164,2096,2096,true,SIN,Asia Pacific,Singapore,103,9.80
8.219.248.47,8880,8880,false,SIN,Asia Pacific,Singapore,19,9.80
8.219.5.10,2096,2096,true,SIN,Asia Pacific,Singapore,127,9.79
8.219.142.191,2086,2086,false,SIN,Asia Pacific,Singapore,21,9.79
8.210.39.96,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,9.78
8.219.198.34,2052,2052,false,SIN,Asia Pacific,Singapore,10,9.78
8.219.4.122,8880,8880,false,SIN,Asia Pacific,Singapore,17,9.78
8.218.136.25,2083,2083,true,HKG,Asia Pacific,Hong Kong,167,9.77
8.219.159.232,8443,8443,true,SIN,Asia Pacific,Singapore,15,9.76
8.219.201.174,2086,2086,false,SIN,Asia Pacific,Singapore,18,9.76
8.219.152.195,2087,2087,true,SIN,Asia Pacific,Singapore,104,9.76
47.236.169.15,2083,2083,true,SIN,Asia Pacific,Singapore,43,9.76
8.222.211.16,2086,2086,false,SIN,Asia Pacific,Singapore,83,9.75
8.219.193.22,2053,2053,true,SIN,Asia Pacific,Singapore,99,9.75
8.219.200.145,2082,2082,false,SIN,Asia Pacific,Singapore,4,9.75
47.236.169.164,2087,2087,true,SIN,Asia Pacific,Singapore,71,9.74
8.219.247.203,8080,8080,false,SIN,Asia Pacific,Singapore,9,9.74
8.219.193.202,2083,2083,true,SIN,Asia Pacific,Singapore,81,9.74
8.219.251.81,8443,8443,true,SIN,Asia Pacific,Singapore,114,9.73
8.219.77.222,2052,2052,false,SIN,Asia Pacific,Singapore,24,9.73
47.76.80.72,2083,2083,true,HKG,Asia Pacific,Hong Kong,113,9.73
8.219.140.63,2082,2082,false,SIN,Asia Pacific,Singapore,16,9.72
8.219.228.186,2052,2052,false,SIN,Asia Pacific,Singapore,26,9.71
8.219.93.5,2086,2086,false,SIN,Asia Pacific,Singapore,13,9.71
47.236.253.41,2053,2053,true,SIN,Asia Pacific,Singapore,112,9.71
8.219.220.88,2096,2096,true,SIN,Asia Pacific,Singapore,67,9.71
47.236.116.26,8443,8443,true,SIN,Asia Pacific,Singapore,84,9.71
8.222.214.13,2053,2053,true,SIN,Asia Pacific,Singapore,147,9.71
47.243.161.235,2083,2083,true,HKG,Asia Pacific,Hong Kong,52,9.70
8.218.149.193,8880,8880,false,HKG,Asia Pacific,Hong Kong,43,9.70
47.76.77.103,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,9.69
8.219.167.65,2087,2087,true,SIN,Asia Pacific,Singapore,165,9.69
8.219.101.138,8080,8080,false,SIN,Asia Pacific,Singapore,13,9.69
47.243.86.79,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,9.68
47.236.97.90,8880,8880,false,SIN,Asia Pacific,Singapore,17,9.68
8.219.191.40,2087,2087,true,SIN,Asia Pacific,Singapore,79,9.68
47.236.171.205,80,80,false,SIN,Asia Pacific,Singapore,21,9.67
8.219.156.148,2052,2052,false,SIN,Asia Pacific,Singapore,12,9.66
8.219.193.22,8443,8443,true,SIN,Asia Pacific,Singapore,62,9.66
8.219.156.148,2082,2082,false,SIN,Asia Pacific,Singapore,12,9.64
8.219.237.250,2053,2053,true,SIN,Asia Pacific,Singapore,76,9.64
8.217.193.25,80,80,false,HKG,Asia Pacific,Hong Kong,48,9.64
8.219.241.189,443,443,true,SIN,Asia Pacific,Singapore,107,9.64
8.218.201.73,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,9.64
8.218.204.128,8080,8080,false,HKG,Asia Pacific,Hong Kong,44,9.64
8.222.215.228,8080,8080,false,SIN,Asia Pacific,Singapore,24,9.64
47.236.202.91,2083,2083,true,SIN,Asia Pacific,Singapore,178,9.64
8.218.174.118,2087,2087,true,HKG,Asia Pacific,Hong Kong,163,9.63
8.219.126.3,2052,2052,false,SIN,Asia Pacific,Singapore,17,9.63
47.236.172.71,2086,2086,false,SIN,Asia Pacific,Singapore,23,9.63
8.219.201.8,2083,2083,true,SIN,Asia Pacific,Singapore,119,9.63
8.219.84.102,2087,2087,true,SIN,Asia Pacific,Singapore,115,9.63
8.219.178.101,2095,2095,false,SIN,Asia Pacific,Singapore,18,9.62
47.236.144.196,8880,8880,false,SIN,Asia Pacific,Singapore,11,9.62
